time,frame,face_idx,face_x,face_y,face_w,face_h,emotion
0.04,1,01,467,213,410,410,neutral
0.08,2,01,471,220,393,393,neutral
0.12,3,01,454,215,397,397,neutral
0.16,4,01,466,212,378,378,neutral
0.2,5,01,413,159,378,378,neutral
0.24,6,01,446,198,380,380,neutral
0.28,7,01,442,189,372,372,neutral
0.32,8,01,446,196,350,350,neutral
0.36,9,01,431,182,363,363,neutral
0.4,10,01,413,159,378,378,neutral
0.44,11,01,417,162,384,384,fear
0.48,12,01,427,165,352,352,surprise
0.56,14,01,382,132,414,414,angry
0.68,17,01,400,145,363,363,neutral
0.72,18,01,397,134,373,373,neutral
0.76,19,01,390,130,396,396,surprise
0.8,20,01,388,125,388,388,neutral
0.84,21,01,400,128,383,383,neutral
0.88,22,01,404,127,383,383,neutral
0.92,23,01,399,128,383,383,neutral
0.96,24,01,386,124,400,400,neutral
1.0,25,01,378,122,410,410,neutral
1.04,26,01,383,133,390,390,neutral
1.08,27,01,397,146,366,366,neutral
1.12,28,01,383,144,394,394,neutral
1.16,29,01,380,151,385,385,neutral
1.2,30,01,384,162,366,366,neutral
1.24,31,01,384,162,366,366,neutral
1.28,32,01,371,152,394,394,neutral
1.32,33,01,382,170,376,376,neutral
1.36,34,01,372,166,389,389,neutral
1.4,35,01,364,158,407,407,neutral
1.44,36,01,373,164,400,400,neutral
1.48,37,01,366,167,386,386,neutral
1.52,38,01,374,173,376,376,neutral
1.56,39,01,372,162,383,383,neutral
1.6,40,01,367,154,397,397,neutral
1.64,41,01,387,152,382,382,neutral
1.68,42,01,371,134,409,409,neutral
1.72,43,01,379,135,407,407,neutral
1.76,44,01,384,137,385,385,neutral
1.8,45,01,392,129,395,395,neutral
1.84,46,01,408,127,383,383,neutral
1.88,47,01,406,125,393,393,neutral
1.92,48,01,409,117,404,404,angry
1.96,49,01,427,121,392,392,neutral
2.0,50,01,419,113,412,412,angry
2.04,51,01,427,120,402,402,angry
2.08,52,01,432,116,404,404,neutral
2.12,53,01,449,125,382,382,neutral
2.16,54,01,426,107,171,171,neutral
2.2,55,01,427,108,173,173,neutral
2.24,56,01,422,109,184,184,neutral
2.28,57,01,429,121,170,170,neutral
2.32,58,01,429,117,186,186,neutral
2.36,59,01,431,131,172,172,neutral
2.4,60,01,424,122,196,196,neutral
2.44,61,01,430,131,188,188,neutral
2.48,62,01,430,137,182,182,neutral
2.52,63,01,431,136,190,190,neutral
2.56,64,01,425,141,187,187,neutral
2.6,65,01,420,133,210,210,neutral
2.64,66,01,418,141,202,202,neutral
2.68,67,01,414,142,207,207,neutral
2.72,68,01,410,144,212,212,neutral
2.76,69,01,404,147,218,218,neutral
2.8,70,01,404,146,219,219,neutral
2.84,71,01,404,146,219,219,neutral
2.88,72,01,403,154,223,223,neutral
2.92,73,01,402,153,227,227,neutral
2.96,74,01,401,158,227,227,neutral
3.0,75,01,398,155,238,238,neutral
3.04,76,01,400,157,233,233,neutral
3.08,77,01,413,164,221,221,neutral
3.12,78,01,403,163,238,238,neutral
3.16,79,01,405,171,232,232,neutral
3.2,80,01,402,171,239,239,neutral
3.24,81,01,403,174,239,239,neutral
3.28,82,01,401,169,248,248,neutral
3.32,83,01,396,170,249,249,neutral
3.36,84,01,391,165,258,258,neutral
3.4,85,01,393,163,259,259,neutral
3.44,86,01,393,164,253,253,neutral
3.48,87,01,392,159,260,260,neutral
3.52,88,01,388,155,268,268,neutral
3.56,89,01,394,158,263,263,neutral
3.6,90,01,401,154,260,260,neutral
3.64,91,01,400,156,258,258,neutral
3.68,92,01,394,149,265,265,neutral
3.72,93,01,400,148,260,260,neutral
3.76,94,01,408,152,244,244,neutral
3.8,95,01,398,135,270,270,neutral
3.84,96,01,401,130,265,265,neutral
3.88,97,01,396,120,281,281,neutral
3.92,98,01,404,121,269,269,neutral
3.96,99,01,403,117,269,269,neutral
4.0,100,01,404,116,266,266,neutral
4.04,101,01,405,117,265,265,neutral
4.08,102,01,403,114,267,267,neutral
4.12,103,01,401,107,279,279,neutral
4.16,104,01,401,100,287,287,neutral
4.2,105,01,403,102,283,283,neutral
4.24,106,01,399,101,289,289,neutral
4.28,107,01,405,105,282,282,neutral
4.32,108,01,412,109,277,277,neutral
4.36,109,01,421,115,272,272,neutral
4.4,110,01,417,111,283,283,neutral
4.44,111,01,416,111,284,284,neutral
4.48,112,01,422,113,282,282,neutral
4.52,113,01,427,110,289,289,neutral
4.56,114,01,430,111,289,289,neutral
4.6,115,01,434,117,280,280,neutral
4.64,116,01,441,122,275,275,neutral
4.68,117,01,443,120,280,280,neutral
4.72,118,01,454,130,262,262,neutral
4.76,119,01,453,124,273,273,neutral
4.8,120,01,458,124,271,271,neutral
4.84,121,01,457,121,275,275,neutral
4.88,122,01,457,114,285,285,neutral
4.92,123,01,456,117,281,281,neutral
4.96,124,01,463,119,274,274,neutral
5.0,125,01,458,118,280,280,neutral
5.04,126,01,458,118,280,280,neutral
5.08,127,01,459,118,280,280,neutral
5.12,128,01,458,115,279,279,neutral
5.16,129,01,460,117,271,271,neutral
5.2,130,01,450,112,282,282,neutral
5.24,131,01,450,112,282,282,neutral
5.28,132,01,453,115,278,278,neutral
5.32,133,01,449,114,280,280,neutral
5.36,134,01,448,115,275,275,neutral
5.4,135,01,440,111,281,281,neutral
5.44,136,01,546,179,86,86,angry
5.48,137,01,543,177,89,89,angry
5.52,138,01,543,178,85,85,angry
5.56,139,01,539,175,87,87,neutral
5.6,140,01,537,174,88,88,neutral
5.64,141,01,534,172,89,89,neutral
5.68,142,01,532,170,89,89,angry
5.76,144,01,527,166,87,87,angry
5.8,145,01,526,166,89,89,angry
5.84,146,01,524,166,88,88,angry
5.88,147,01,523,164,88,88,neutral
5.92,148,01,520,162,88,88,angry
5.96,149,01,513,158,88,88,neutral
6.0,150,01,508,154,92,92,neutral
6.04,151,01,508,154,92,92,neutral
6.08,152,01,508,154,88,88,angry
6.28,157,01,500,149,88,88,angry
6.32,158,01,498,148,90,90,angry
6.36,159,01,498,148,90,90,angry
6.4,160,01,494,146,94,94,neutral
6.44,161,01,494,144,93,93,angry
6.48,162,01,495,146,89,89,angry
6.52,163,01,495,146,88,88,angry
6.56,164,01,491,143,94,94,angry
6.6,165,01,491,143,93,93,angry
6.64,166,01,493,144,89,89,angry
6.68,167,01,492,144,90,90,angry
6.72,168,01,490,142,94,94,neutral
6.76,169,01,491,143,91,91,angry
6.8,170,01,490,142,91,91,angry
6.84,171,01,490,142,91,91,angry
6.88,172,01,490,142,91,91,angry
6.92,173,01,490,141,93,93,angry
6.96,174,01,490,140,94,94,sad
7.0,175,01,489,140,94,94,angry
7.04,176,01,491,141,92,92,sad
7.08,177,01,475,79,427,427,angry
7.12,178,01,472,79,434,434,angry
7.16,179,01,468,73,445,445,neutral
7.2,180,01,479,82,432,432,angry
7.24,181,01,479,82,432,432,angry
